全部,#genre#
CQTV少儿,http://27.10.76.217:8003/udp/225.0.4.71:7980
爱生活,http://27.10.76.217:8003/udp/225.0.4.164:7980
IPTV相声小品,http://27.10.76.217:8003/udp/225.0.4.56:7980
IPTV野外,http://27.10.76.217:8003/udp/225.0.4.57:7980
IPTV3+,http://27.10.76.217:8003/udp/225.0.4.51:7980
IPTV5+,http://27.10.76.217:8003/udp/225.0.4.53:7980
IPTV6+,http://27.10.76.217:8003/udp/225.0.4.50:7980
IPTV8+,http://27.10.76.217:8003/udp/225.0.4.54:7980
经典电影,http://27.10.76.217:8003/udp/225.0.4.48:7980
解密,http://27.10.76.217:8003/udp/225.0.4.153:7980
全纪实,http://27.10.76.217:8003/udp/225.0.4.113:7980
纪实HD,http://27.10.76.217:8003/udp/225.0.4.99:7980
地理,http://27.10.76.217:8003/udp/225.0.4.149:7980
古装剧场,http://27.10.76.217:8003/udp/225.0.4.147:7980
武侠剧场,http://27.10.76.217:8003/udp/225.0.4.168:7980
军旅剧场,http://27.10.76.217:8003/udp/225.0.4.146:7980
喜剧影院,http://27.10.76.217:8003/udp/225.0.4.169:7980
动作影院,http://27.10.76.217:8003/udp/225.0.4.170:7980
家庭影院,http://27.10.76.217:8003/udp/225.0.4.171:7980
星影,http://27.10.76.217:8003/udp/225.0.4.172:7980
央视频道,#genre#
CCTV1,http://116.117.104.38:8096/tsfile/live/0001_1.m3u8
CCTV2,http://116.117.104.38:8096/tsfile/live/0002_1.m3u8
CCTV3,http://116.117.104.38:8096/tsfile/live/0003_1.m3u8
CCTV4,http://116.117.104.38:8096/tsfile/live/0004_1.m3u8
CCTV5,http://116.117.104.38:8096/tsfile/live/0005_1.m3u8
CCTV6,http://116.117.104.38:8096/tsfile/live/0006_1.m3u8
CCTV7,http://116.117.104.38:8096/tsfile/live/0007_1.m3u8
CCTV8,http://116.117.104.38:8096/tsfile/live/0008_1.m3u8
CCTV9,http://116.117.104.38:8096/tsfile/live/0009_1.m3u8
CCTV10,http://116.117.104.38:8096/tsfile/live/0010_1.m3u8
CCTV11,http://116.117.104.38:8096/tsfile/live/0011_1.m3u8
CCTV12,http://116.117.104.38:8096/tsfile/live/0012_1.m3u8
CCTV13,http://116.117.104.38:8096/tsfile/live/0013_1.m3u8
CCTV14,http://116.117.104.38:8096/tsfile/live/0014_1.m3u8
CCTV15,http://116.117.104.38:8096/tsfile/live/0014_2.m3u8
CCTV1,http://116.117.104.21:8096/tsfile/live/0001_1.m3u8
CCTV2,http://116.117.104.21:8096/tsfile/live/0002_1.m3u8
CCTV3,http://116.117.104.21:8096/tsfile/live/0003_1.m3u8
CCTV4,http://116.117.104.21:8096/tsfile/live/0004_1.m3u8
CCTV5,http://116.117.104.21:8096/tsfile/live/0005_1.m3u8
CCTV6,http://116.117.104.21:8096/tsfile/live/0006_1.m3u8
CCTV7,http://116.117.104.21:8096/tsfile/live/0007_1.m3u8
CCTV8,http://116.117.104.21:8096/tsfile/live/0008_1.m3u8
CCTV9,http://116.117.104.21:8096/tsfile/live/0009_1.m3u8
CCTV10,http://116.117.104.21:8096/tsfile/live/0010_1.m3u8
CCTV11,http://116.117.104.21:8096/tsfile/live/0011_1.m3u8
CCTV12,http://116.117.104.21:8096/tsfile/live/0012_1.m3u8
CCTV13,http://116.117.104.21:8096/tsfile/live/0013_1.m3u8
CCTV14,http://116.117.104.21:8096/tsfile/live/0014_1.m3u8
CCTV15,http://116.117.104.21:8096/tsfile/live/0014_2.m3u8
CCTV1,http://27.10.76.217:8006/udp/225.0.4.74:7980
CCTV2,http://27.10.76.217:8006/udp/225.0.4.132:7980
CCTV3,http://27.10.76.217:8006/udp/225.0.4.142:7980
CCTV4,http://27.10.76.217:8006/udp/225.0.4.176:7980
