全部,#genre#
CHC高清电影,http://14.19.142.188:8089/hls/110/index.m3u8
IPTV+6+,http://14.19.142.188:8089/hls/112/index.m3u8
CCTV1-综合,http://119.142.76.36:9901/tsfile/live/0001_1.m3u8
CCTV2-财经,http://119.142.76.36:9901/tsfile/live/0002_1.m3u8
CCTV3-综艺,http://119.142.76.36:9901/tsfile/live/0003_1.m3u8
CCTV4-国际,http://119.142.76.36:9901/tsfile/live/0004_1.m3u8
CCTV5-体育,http://119.142.76.36:9901/tsfile/live/0005_1.m3u8
CCTV6-电影,http://119.142.76.36:9901/tsfile/live/0006_1.m3u8
CCTV7-军农,http://119.142.76.36:9901/tsfile/live/0007_1.m3u8
CCTV8-电视剧,http://119.142.76.36:9901/tsfile/live/0008_1.m3u8
CCTV9-纪录,http://119.142.76.36:9901/tsfile/live/0009_1.m3u8
CCTV10-科教,http://119.142.76.36:9901/tsfile/live/0010_1.m3u8
CCTV11-戏曲,http://119.142.76.36:9901/tsfile/live/0011_1.m3u8
CCTV12-社会与法,http://119.142.76.36:9901/tsfile/live/0012_1.m3u8
CCTV13-新闻,http://119.142.76.36:9901/tsfile/live/0013_1.m3u8
CCTV14-少儿,http://119.142.76.36:9901/tsfile/live/0014_1.m3u8
CCTV-15,http://119.142.76.36:9901/tsfile/live/0015_1.m3u8
浙江卫视,http://119.142.76.36:9901/tsfile/live/0124_1.m3u8
江苏卫视,http://119.142.76.36:9901/tsfile/live/0127_1.m3u8
深圳卫视,http://119.142.76.36:9901/tsfile/live/0126_1.m3u8
北京卫视,http://119.142.76.36:9901/tsfile/live/0122_1.m3u8
广东卫视,http://119.142.76.36:9901/tsfile/live/0125_1.m3u8
广东体育,http://119.142.76.36:9901/tsfile/live/1000_1.m3u8
广东珠江,http://119.142.76.36:9901/tsfile/live/1001_1.m3u8
广东新闻,http://119.142.76.36:9901/tsfile/live/1002_1.m3u8
广东公共,http://119.142.76.36:9901/tsfile/live/1003_1.m3u8
南方卫视,http://119.142.76.36:9901/tsfile/live/1005_1.m3u8
广东少儿,http://119.142.76.36:9901/tsfile/live/1007_1.m3u8
广东嘉佳卡通,http://119.142.76.36:9901/tsfile/live/1008_1.m3u8
CCTV-NEWS,http://119.142.76.36:9901/tsfile/live/1011_1.m3u8
内蒙古卫视,http://119.142.76.36:9901/tsfile/live/0109_1.m3u8
山东卫视,http://119.142.76.36:9901/tsfile/live/0110_1.m3u8
广东珠江高清,http://113.101.119.146:808/hls/105/index.m3u8
湛江公共,http://113.101.119.146:808/hls/3/index.m3u8
广东经济科教,http://113.101.119.146:808/hls/129/index.m3u8
岭南戏曲,http://113.101.119.146:808/hls/22/index.m3u8
广东新闻,http://113.101.119.146:808/hls/106/index.m3u8
广东公共,http://113.101.119.146:808/hls/107/index.m3u8
南方卫视,http://113.101.119.146:808/hls/109/index.m3u8
广东体育,http://113.101.119.146:808/hls/108/index.m3u8
广东影视,http://113.101.119.146:808/hls/110/index.m3u8
广东少儿,http://113.101.119.146:808/hls/111/index.m3u8
CCTV-2高清,http://113.101.119.146:808/hls/114/index.m3u8
CCTV-3高清,http://113.101.119.146:808/hls/115/index.m3u8
CCTV-4高清,http://113.101.119.146:808/hls/116/index.m3u8
CCTV5,http://113.101.119.146:808/hls/58/index.m3u8
CCTV-5+,http://113.101.119.146:808/hls/10/index.m3u8
